timestamp_ns,center_x,center_y,bbox_x,bbox_y,bbox_w,bbox_h,bbox_area,score,class_id,manual_vx,manual_vy
15554994620157,730.235,255.170,704.816,229.878,50.839,50.585,2571.674,0.86779,0,-0.19000,-0.21500
15555130514501,730.358,255.094,705.031,229.698,50.652,50.792,2572.747,0.87528,0,-0.19000,-0.21500
15555458921302,730.210,254.874,704.733,229.401,50.954,50.946,2595.880,0.87638,0,-0.19000,-0.21500
15556578550288,730.171,255.196,704.545,229.755,51.251,50.882,2607.741,0.87156,0,-0.19000,-0.21000
15556928713853,730.845,254.717,705.302,229.296,51.086,50.841,2597.271,0.87788,0,-0.19000,-0.20500
15557244420950,731.416,254.112,706.508,229.040,49.817,50.144,2497.993,0.86561,2,-0.19000,-0.20500
15573617471810,566.605,282.510,542.160,257.566,48.889,49.889,2439.032,0.89161,0,-0.30500,-0.19000
15573780290333,566.636,282.332,542.162,257.464,48.947,49.736,2434.432,0.88893,0,-0.30000,-0.19000
15574015680777,566.190,282.213,541.795,257.567,48.790,49.292,2404.934,0.87313,2,-0.29500,-0.18500
15574512914193,566.900,282.462,542.496,257.716,48.808,49.491,2415.583,0.89100,0,-0.30000,-0.18500
15574681789522,566.988,282.518,542.515,257.542,48.948,49.953,2445.059,0.89410,0,-0.29500,-0.18000
15574882714295,566.306,282.443,541.480,257.400,49.652,50.086,2486.874,0.89428,0,-0.29000,-0.18000
15575051870779,566.887,282.062,541.419,256.963,50.936,50.198,2556.885,0.86653,2,-0.29000,-0.18500
15576149142816,566.676,282.539,542.052,257.626,49.247,49.826,2453.816,0.88953,0,-0.30500,-0.18500
15576349724063,566.208,282.427,541.685,257.728,49.047,49.398,2422.816,0.89061,0,-0.30500,-0.18500
15577217962182,566.946,282.292,542.502,257.381,48.890,49.822,2435.796,0.89088,0,-0.31000,-0.18000
15577385630239,566.814,282.259,542.201,257.160,49.226,50.199,2471.080,0.88858,0,-0.31000,-0.18000
15598436653225,403.082,231.840,377.063,206.365,52.037,50.949,2651.222,0.89282,0,-0.44500,-0.24000
15598607912312,403.188,231.851,376.928,206.498,52.521,50.706,2663.114,0.89040,0,-0.44500,-0.24000
15598740128509,402.579,232.103,376.415,206.715,52.328,50.774,2656.938,0.88547,0,-0.44500,-0.24000
15598972393560,403.062,231.825,376.618,206.245,52.889,51.160,2705.823,0.88639,0,-0.44500,-0.24000
15599137982177,403.782,231.944,377.071,206.375,53.423,51.138,2731.921,0.89003,0,-0.44500,-0.24000
15599306850731,403.356,231.795,377.244,206.602,52.222,50.387,2631.321,0.88779,0,-0.44500,-0.24000
15599441041669,403.096,231.661,376.539,206.272,53.114,50.779,2697.100,0.88487,0,-0.44500,-0.24000
15599708113880,403.115,231.810,376.798,206.340,52.636,50.939,2681.228,0.88551,0,-0.44500,-0.24000
15599874329911,403.240,232.031,377.116,206.704,52.248,50.655,2646.595,0.89485,0,-0.44500,-0.24000
